#,Investor Name,HQ Country,HQ City,Latitude,Longitude,Closest FUA
398,Vivero de Empresas de Mós…,Spain,Madrid,40.4167047,-3.7035825,Madrid
399,WATTx,Germany,Berlin,52.510885,13.3989367,Berlin
400,Wayra Germany,Germany,Munich,48.1371079,11.5753822,München
401,We Are Grit,Spain,Barcelona,41.3828939,2.1774322,Barcelona
402,WERK1,Germany,Munich,48.1371079,11.5753822,München
403,Wilco,France,Paris,48.8534951,2.3483915,Paris
406,Wrocław Technology Park,Poland,Wroclaw,51.1089776,17.0326689,Wrocław
407,Wylab,Italy,Chiavari,44.3164494,9.3233382,La Spezia
408,XDECK,Germany,Cologne,50.938361,6.959974,Köln
409,xEdu,Finland,Helsinki,60.1674881,24.9427473,Helsinki/Helsingfors
410,Xpreneurs,Germany,Munich,48.1371079,11.5753822,München
412,Zagatub,France,Paris,48.8534951,2.3483915,Paris
413,ZERO,Italy,Rome,41.8933203,12.4829321,Roma
414,Zero Acceleratore,Italy,Rome,41.8933203,12.4829321,Roma
415,Zero Gravity,Portugal,Lisbon,38.7077507,-9.1365919,Lisboa
